stock_line_id,warehouse,article,article_norm,name,qty_in_move,cost_rub,unit_cost_rub,source_file,source_file_id,so_t
STK-376,ДЕМИ (Основное подразделение),0-2672,0-2672,"Юбка женская, черная, из пайеток, с аппликацией ""Цветок""",-2.0,-50676.16,25338.08,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-377,ДЕМИ (Основное подразделение),0-2673,0-2673,"Блуза женская, черная, из бархата стрейч, с аппликацией ""Цветок""",-2.0,-22430.0,11215.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-378,ДЕМИ (Основное подразделение),0-2674,0-2674,"Брюки женские, черные, из бархата стрейч, с аппликацией ""Цветок""",-5.0,-26592.6,5318.52,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-379,ДЕМИ (Основное подразделение),0-2675,0-2675,"Жакет женский, черный, из бархата шелкового с аппликацией ""Цветок""",-1.0,-20162.37,20162.37,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-380,ДЕМИ (Основное подразделение),0-2676,0-2676,"Брюки женские, черные, из бархата шелкового, с аппликацией ""Цветок""",,,,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-381,ДЕМИ (Основное подразделение),0-2683,0-2683,"Платье женское, черное в белый горох, из шелка, с поясом-завязка",-3.0,-70826.25,23608.75,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-382,ДЕМИ (Основное подразделение),0-2689,0-2689,"Юбка женская, черная, из пайеток, с боа",,,,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-383,ДЕМИ (Основное подразделение),0-2690,0-2690,"Блуза женская, черная, из ткани с пайетками, топ с баской",-1.0,-16716.5,16716.5,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-384,ДЕМИ (Основное подразделение),0-2691,0-2691,"Брюки женские, черные, из бархата стрейч",-1.0,-6299.0,6299.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-385,ДЕМИ (Основное подразделение),0-2721,0-2721,"Платье женское, бежевое, из шифона, длинное",-5.0,-189725.0,37945.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-386,ДЕМИ (Основное подразделение),0-2814,0-2814,"Платье женское, красное, из дюшеса, с объемным декором ""Цветок""",-1.0,-19070.0,19070.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-387,ДЕМИ (Основное подразделение),0-2815,0-2815,"Платье женское, черное, из джерси, с рукавами из тафты",-1.0,-14835.2,14835.2,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-388,ДЕМИ (Основное подразделение),0-2816,0-2816,"Платье женское, черное, из бархата хлопчатобумажного, с декором ""Бант с цветком""",-1.0,-20434.3,20434.3,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-389,ДЕМИ (Основное подразделение),0-2817,0-2817,"Блуза женская, белая, из тафты",-1.0,-15985.0,15985.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-390,ДЕМИ (Основное подразделение),0-2818,0-2818,"Плед бежевый, из кашемира, с авторским рисунком",-4.0,-74100.0,18525.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
