stock_wh_id,article_raw,canonical_sku,name,warehouse,qty_end,source_file_id,source_row_id
SW-0b165652d6d3fd39,0-2050M,0-2050M,"Шорты женские, белые с принтом ""балерины"", из батиста, с отделкой черным кантом",Склад ИМ (Основное подразделение),1.0,FILE-098,r1272
SW-532f601ce7502cae,0-2050M/1,0-2050M,"Шорты женские, черные с принтом ""балерины"", из батиста, с отделкой белым кантом",Склад ИМ (Основное подразделение),1.0,FILE-098,r1278
SW-9cdc96466d58111c,0-2050M/2,0-2050M,"Шорты женские, белые с принтом ""черные Y и грибы"", из батиста, с отделкой черным кантом",Склад ИМ (Основное подразделение),1.0,FILE-098,r1280
SW-c28113558f61295d,0-2073B,0-2073B,"Пальто женское, темно-синее, из шерсти, со съемным меховым воротником",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r1322
SW-988a85aa99b74444,0-2079,0-2079,"Дубленка женская, светло-серая, из овчины, декорирована аппликацией из кожи",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r1327
SW-f75e99ae63da254d,0-2122,0-2122,"Платье женское, черное с принтом ""девочки"", из шелка, со съемным поясом",Склад ИМ (Основное подразделение),1.0,FILE-098,r1394
SW-797f8bdb0c8b68ab,0-2137,0-2137,"Блуза женская, черная, из трикотажа, с узким рукавом",Склад ИМ (Основное подразделение),1.0,FILE-098,r1433
SW-e67224e66fcfc4f8,0-2137А,0-2137A,"Блуза женская, белая, из трикотажа, с узким рукавом",Склад ИМ (Основное подразделение),1.0,FILE-098,r1446
SW-447881e5e1cc0a5e,0-2143,0-2143,"Рукава-балеро женские, черные, из фатина",Склад ИМ (Основное подразделение),1.0,FILE-098,r1458
SW-83b82423e62f2488,0-2144,0-2144,"Платье женское, черное, из фатина, с геометричным принтом, c накидкой ""балеро"" из органзы",Склад ИМ (Основное подразделение),1.0,FILE-098,r1459
SW-6f458df87a6a1f2f,0-2152А,0-2152A,"Платье женское, черное, из джерси, декорировано черным принтом и жемчугом",Склад ИМ (Основное подразделение),1.0,FILE-098,r1470
SW-20a69cd76b3bab60,0-2172,0-2172,"Платок женский, черно-голубой с принтом ""леопард"", из шелка",Подарки (Основное подразделение),1.0,FILE-098,r1498
SW-af318d66f6a8dad2,0-2173А,0-2173A,"Футболка женская, черная, из трикотажа, с рукавами из  пайеточной ткани",Склад ИМ (Основное подразделение),1.0,FILE-098,r1508
SW-d34f060a763a5c3d,0-2209,0-2209,"Пальто женское, черное, из плащевой ткани, с меховым воротником",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r1519
SW-83b1790f11c77f74,0-2214,0-2214,"Пальто женское, черное, из плащевой ткани, объемное",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r1527
SW-a2b25fd6be3704be,0-2244/1,0-2244,"Рубашка женская, черная с принтом ""девочки"", из шелка",Склад ИМ (Основное подразделение),1.0,FILE-098,r1539
SW-58d747de61e95130,0-2245/1,0-2245,"Брюки женские, черные с принтом ""девочки"", из шелка",Склад ИМ (Основное подразделение),1.0,FILE-098,r1543
SW-2b7aef26ce58caec,0-2246B,0-2246B,"Платье женское, розовое с принтом ""желто-черные Y"", из батиста, с поясом",Подарки (Основное подразделение),1.0,FILE-098,r1551
SW-796ff4d1c1ab94f3,0-2290,0-2290,"Юбка женская, белая с принтом ""пляж"", из хлопка",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r1601
SW-6d551447084e46c4,0-2291,0-2291,"Блуза женская, белая с принтом ""пляж"", из хлопка",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r1609
SW-483abdd5ba1b849f,0-2321,0-2321,"Платье женское ""ТЕРРА"", розовое, из шерстяного крепа, с вышивкой",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r1630
SW-b3b16b7d4c55cb57,0-2323В,0-2323B,"Юбка женская, белая, из шерстяного крепа, с вышивкой",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r1631
SW-e1fb2a843f5f15c2,0-2324,0-2324,"Пальто женское, серое, из шелкового бархата, с расшитыми розовыми цветами на рукавах",Подарки (Основное подразделение),1.0,FILE-098,r1632
SW-c156ab00237b09d1,0-2325,0-2325,"Пальто женское ""ТЕРРА"", серое, из шерстяного крепа, с вышивкой",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r1639
SW-cd5a7bdf48811127,0-2325B,0-2325B,"Пальто женское ""ТЕРРА"", розовое, из шерстяного крепа, с вышивкой",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r1640
SW-42e069a24b76d448,0-2325E,0-2325E,"Пальто женское ""ТЕРРА"", темно-розовое, из шерстяного крепа, с вышивкой",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r1643
SW-8452a8887c4f7c6c,0-2325А,0-2325A,"Пальто женское ""ТЕРРА"", белое, из шерстяного крепа, с вышивкой",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r1644
SW-6b7ba8b9e69f5b28,0-2326,0-2326,"Юбка женская ""ТЕРРА"", серая, из шерстяного крепа, прямого силуэта",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r1647
SW-c56570161fc30dde,0-2326В,0-2326B,"Юбка женская ""ТЕРРА"", розовая, из шерстяного крепа, с вышивкой",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r1648
SW-07fb5350df389745,0-2328,0-2328,"Юбка женская, серая, из шерсти, с аппликационной вышивкой ""Хризантемы""",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r1649
SW-4fed934b8bbe58dc,0-2328В,0-2328B,"Юбка женская, красная, из шерсти, с аппликационной вышивкой ""Хризантемы""",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r1658
SW-dfee6609a72a000d,0-2340А,0-2340A,"Пальто женское, черное, из шерстяного крепа, с белой кожаной аппликацией",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r1685
SW-8ad5e500471cca59,0-2347,0-2347,"Пальто женское ""ДИАГОНАЛЬ"", черное, из шерсти, с отделкой кожей",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r1689
SW-cc14ac34f2b1aecb,0-2359,0-2359,"Свитшот женский, черный, из футера, с декором принт ""сердце, Yanina""",Подарки (Основное подразделение),1.0,FILE-098,r1721
SW-50ea6cb3ed0c5e08,0-2359,0-2359,"Свитшот женский, черный, из футера, с декором принт ""сердце, Yanina""",Салон (Лена М.) (Основное подразделение),5.0,FILE-098,r1721
SW-c0fac0bc57f3a50f,0-2359,0-2359,"Свитшот женский, черный, из футера, с декором принт ""сердце, Yanina""",Склад ИМ (Основное подразделение),4.0,FILE-098,r1721
SW-65110b2ef7b250ba,0-2359A,0-2359A,"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina""",Подарки (Основное подразделение),1.0,FILE-098,r1768
SW-9d4d71b57e2c0f65,0-2359A,0-2359A,"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina""",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r1768
SW-d01299dcb38db068,0-2359A,0-2359A,"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina""",Склад ИМ (Основное подразделение),2.0,FILE-098,r1768
SW-1a16a5a1933469e7,0-2396,0-2396,"Платье женское, черное, из крепа, с декором ""Листья"" на манжетах",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r1905
SW-06ee3aef15b5e040,0-2397,0-2397,"Платье женское, черное, из стрейч бархата, с разрезом и декором из страз",Склад ИМ (Основное подразделение),1.0,FILE-098,r1909
SW-0ee2db33bb02cd95,0-2409,0-2409,"Платье женское, черное, из шерсти, с декором из сетки и перьев",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r1964
SW-523aa14a5649a567,0-2419A,0-2419A,"Брюки женские, черные, из шелкового бархата, с отделкой белым кантом",Склад ИМ (Основное подразделение),1.0,FILE-098,r1972
SW-2a6cd1d10b8f2419,0-2420A,0-2420A,"Жакет женский, черный, из шелкового бархата, с вышивкой ""Птицы"" на карманах",Склад ИМ (Основное подразделение),1.0,FILE-098,r1979
