sku_id,canonical_sku,article,code_1c,name,in_cost,in_sales,in_intersection,sales_revenue_rub,status
SKU-cba0d28c39616b32,T-2756D,T-2756D/2,00-00001428,"Свитер женский, белый, из кашемира, с расшивкой ""Ласточка""",N,Y,N,948601.72,CANDIDATE_MASTER
SKU-d7eb507f2bf6778f,T-2757,T-2757,00-00001464,"Брюки женские, коричневые, из натуральной замши",N,Y,N,825424.37,CANDIDATE_MASTER
SKU-384299413c03b200,T-2758,T-2758,00-00001462,"Юбка женская, черная, из шелка, зауженная в области колена и расширенная к низу",N,Y,N,1064009.89,CANDIDATE_MASTER
SKU-014746c24c0f6ce3,T-2759,T-2759,00-00001543,"Юбка женская, коричневая, из натуральной замши, мини",N,Y,N,96840.0,CANDIDATE_MASTER
SKU-6578282aa2022c71,T-2760,T-2760,00-00001439,"Юбка женская, черная, из натуральной кожи",N,Y,N,775496.08,CANDIDATE_MASTER
SKU-dc9717f1c12c598d,T-2788,T-2788,00-00001754,"Платье женское, белое с принтом ""черный горох"", из шифона, с коротким рукавом",Y,Y,Y,671322.88,CANDIDATE_MASTER
SKU-7763026496b49430,T-2792,T-2792,00-00001752,"Платье женское, белое с принтом ""черный горох"", из шифона, с поясом",Y,Y,Y,1208649.82,CANDIDATE_MASTER
SKU-202ed9c58c186bd4,T-2792A,T-2792A,00-00001753,"Платья женское, серое с принтом ""белый горох"", из шифона, с поясом",Y,Y,Y,747973.38,CANDIDATE_MASTER
SKU-db32805784f6969e,T-2804,T-2804,00-00001723,"Жакет женский, черный с принтом ""белый горох"", из шелка, с кливанте",Y,Y,Y,838334.39,CANDIDATE_MASTER
SKU-24a741a665aaf384,T-2805,T-2805,00-00001747,"Жилет женский, черный в белый горох, из шифона",Y,Y,Y,526200.0,CANDIDATE_MASTER
SKU-a7fb9716fcf792f5,T-2806,T-2806,00-00001717,"Брюки женские, черные с принтом ""белый горох"", из шелка, широкие",Y,Y,Y,608418.64,CANDIDATE_MASTER
SKU-9fadf0d93b3a3312,T-2846,T-2846,00-00001470,"Платье женское, черное, из хлопчатобумажного бархата, с вышивкой ""Ласточка""",N,Y,N,1138651.6,CANDIDATE_MASTER
SKU-d3de75fb2932701c,T-2846,T-2846/1,00-00001640,"Платье женское, черное, из хлопчатобумажного бархата, с вышивкой ""Ласточки""",N,Y,N,1138651.6,CANDIDATE_MASTER
SKU-79511f273c1da031,T-2847,T-2847,00-00001469,"Платье женское, черное, из дабл-крепа, с кружевным воротником",N,Y,N,463378.51,CANDIDATE_MASTER
SKU-abce369f34ccf5fe,T-2856,T-2856,00-00001353,"Платье женское, розовое, из шифона, с вышивкой по горловине",N,Y,N,181800.0,CANDIDATE_MASTER
SKU-ac041a9a8c5199fe,T-2857,T-2857,00-00001354,"Платье женское, черное, из вискозы, с вышивкой «Цветок»",N,Y,N,181800.0,CANDIDATE_MASTER
SKU-46690065114a756c,T-2858,T-2858,00-00001355,"Платье женское, черное, из вискозы, с отделкой ""белый лампас"" и вышивкой ""Цветок""",N,Y,N,162800.0,CANDIDATE_MASTER
SKU-feba13f1248fef98,T-2861,T-2861,00-00001744,"Футболка женская, белая с принтом ""цветы"", из трикотажа",Y,Y,Y,284252.24,CANDIDATE_MASTER
SKU-568fe3774d575a4c,T-2861A,T-2861A,00-00001745,"Футболка женская, белая с принтом ""дерево"", из трикотажа",Y,Y,Y,85034.28,CANDIDATE_MASTER
SKU-f9c0689dff551616,T-2862,T-2862,00-00001731,"Рубашка женская, белая  из хлопка, с декором принт ""дерево""",Y,Y,Y,859995.03,CANDIDATE_MASTER
SKU-c64898e6a6a82bcc,T-2865,T-2865,00-00001756,"Платье женское, белое с принтом ""черные Y и балерины"", из хлопка",Y,Y,Y,311850.0,CANDIDATE_MASTER
SKU-e6efb9b1115e81c5,T-2865A,T-2865A,00-00001755,"Платье женское, черное с принтом ""белый горох"", из хлопка, с пелериной",Y,Y,Y,2054895.72,CANDIDATE_MASTER
SKU-4d809c022935736f,T-2871,T-2871,00-00001741,"Блуза женская, желтая, из хлопка, с коротким рукавом и декором ""Бант""",Y,Y,Y,286760.64,CANDIDATE_MASTER
